USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448   992 ?        Ss   Apr14   0:04 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Apr14   0:06 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Apr14   0:10 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Apr14   0:01 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Apr14   0:06 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Apr14   0:01 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Apr14   0:01 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Apr14   0:04 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Apr14   0:06 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Apr14   0:03 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Apr14   0:01 [migration/6]
root        28  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/6]
root        29  0.0  0.0      0     0 ?        S    Apr14   0:03 [ksoftirqd/6]
root        30  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/6]
root        31  0.0  0.0      0     0 ?        S    Apr14   0:01 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Apr14   0:03 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/8]
root        36  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/8]
root        37  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/8]
root        38  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/8]
root        39  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/9]
root        40  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/9]
root        41  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/9]
root        42  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/9]
root        43  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/10]
root        44  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/10]
root        45  0.0  0.0      0     0 ?        S    Apr14   0:03 [ksoftirqd/10]
root        46  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/10]
root        47  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/11]
root        48  0.0  0.0      0     0 ?        S    Apr14   0:00 [migration/11]
root        49  0.0  0.0      0     0 ?        S    Apr14   0:02 [ksoftirqd/11]
root        50  0.0  0.0      0     0 ?        S    Apr14   0:01 [watchdog/11]
root        51  0.0  0.0      0     0 ?        S    Apr14   5:18 [events/0]
root        52  0.0  0.0      0     0 ?        S    Apr14   0:53 [events/1]
root        53  0.0  0.0      0     0 ?        S    Apr14   0:49 [events/2]
root        54  0.0  0.0      0     0 ?        S    Apr14   0:49 [events/3]
root        55  0.0  0.0      0     0 ?        S    Apr14   0:46 [events/4]
root        56  0.0  0.0      0     0 ?        S    Apr14   0:56 [events/5]
root        57  0.0  0.0      0     0 ?        S    Apr14   0:51 [events/6]
root        58  0.0  0.0      0     0 ?        S    Apr14   0:49 [events/7]
root        59  0.0  0.0      0     0 ?        S    Apr14   1:47 [events/8]
root        60  0.0  0.0      0     0 ?        S    Apr14   0:49 [events/9]
root        61  0.0  0.0      0     0 ?        S    Apr14   0:50 [events/10]
root        62  0.0  0.0      0     0 ?        S    Apr14   0:56 [events/11]
root        63  0.0  0.0      0     0 ?        S    Apr14   0:00 [cgroup]
root        64  0.0  0.0      0     0 ?        S    Apr14   0:00 [khelper]
root        65  0.0  0.0      0     0 ?        S    Apr14   0:00 [netns]
root        66  0.0  0.0      0     0 ?        S    Apr14   0:00 [async/mgr]
root        67  0.0  0.0      0     0 ?        S    Apr14   0:00 [pm]
root        68  0.0  0.0      0     0 ?        S    Apr14   0:05 [sync_supers]
root        69  0.0  0.0      0     0 ?        S    Apr14   0:05 [bdi-default]
root        70  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/0]
root        71  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/1]
root        72  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/2]
root        73  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/3]
root        74  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/4]
root        75  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/5]
root        76  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/6]
root        77  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/7]
root        78  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/8]
root        79  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/9]
root        80  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/10]
root        81  0.0  0.0      0     0 ?        S    Apr14   0:00 [kintegrityd/11]
root        82  0.0  0.0      0     0 ?        S    Apr14   0:22 [kblockd/0]
root        83  0.0  0.0      0     0 ?        S    Apr14   0:25 [kblockd/1]
root        84  0.0  0.0      0     0 ?        S    Apr14   0:50 [kblockd/2]
root        85  0.0  0.0      0     0 ?        S    Apr14   0:47 [kblockd/3]
root        86  0.0  0.0      0     0 ?        S    Apr14   1:45 [kblockd/4]
root        87  0.0  0.0      0     0 ?        S    Apr14   3:43 [kblockd/5]
root        88  0.0  0.0      0     0 ?        S    Apr14   0:01 [kblockd/6]
root        89  0.0  0.0      0     0 ?        S    Apr14   0:00 [kblockd/7]
root        90  0.0  0.0      0     0 ?        S    Apr14   0:00 [kblockd/8]
root        91  0.0  0.0      0     0 ?        S    Apr14   0:01 [kblockd/9]
root        92  0.0  0.0      0     0 ?        S    Apr14   0:01 [kblockd/10]
root        93  0.0  0.0      0     0 ?        S    Apr14   0:03 [kblockd/11]
root        94  0.0  0.0      0     0 ?        S    Apr14   0:00 [kacpid]
root        95  0.0  0.0      0     0 ?        S    Apr14   0:00 [kacpi_notify]
root        96  0.0  0.0      0     0 ?        S    Apr14   0:00 [kacpi_hotplug]
root        97  0.0  0.0      0     0 ?        S    Apr14   0:06 [ata/0]
root        98  0.0  0.0      0     0 ?        S    Apr14   0:27 [ata/1]
root        99  0.0  0.0      0     0 ?        S    Apr14   0:44 [ata/2]
root       100  0.0  0.0      0     0 ?        S    Apr14   1:09 [ata/3]
root       101  0.0  0.0      0     0 ?        S    Apr14   1:00 [ata/4]
root       102  0.0  0.0      0     0 ?        S    Apr14   5:06 [ata/5]
root       103  0.0  0.0      0     0 ?        S    Apr14   0:03 [ata/6]
root       104  0.0  0.0      0     0 ?        S    Apr14   0:17 [ata/7]
root       105  0.0  0.0      0     0 ?        S    Apr14   0:26 [ata/8]
root       106  0.0  0.0      0     0 ?        S    Apr14   0:43 [ata/9]
root       107  0.0  0.0      0     0 ?        S    Apr14   0:36 [ata/10]
root       108  0.0  0.0      0     0 ?        S    Apr14   3:14 [ata/11]
root       109  0.0  0.0      0     0 ?        S    Apr14   0:00 [ata_aux]
root       110  0.0  0.0      0     0 ?        S    Apr14   0:00 [ksuspend_usbd]
root       111  0.0  0.0      0     0 ?        S    Apr14   0:00 [khubd]
root       112  0.0  0.0      0     0 ?        S    Apr14   0:00 [kseriod]
root       113  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/0]
root       114  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/1]
root       115  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/2]
root       116  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/3]
root       117  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/4]
root       118  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/5]
root       119  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/6]
root       120  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/7]
root       121  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/8]
root       122  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/9]
root       123  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/10]
root       124  0.0  0.0      0     0 ?        S    Apr14   0:00 [md/11]
root       125  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/0]
root       126  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/1]
root       127  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/2]
root       128  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/3]
root       129  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/4]
root       130  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/5]
root       131  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/6]
root       132  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/7]
root       133  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/8]
root       134  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/9]
root       135  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/10]
root       136  0.0  0.0      0     0 ?        S    Apr14   0:00 [md_misc/11]
root       137  0.0  0.0      0     0 ?        S    Apr14   0:01 [khungtaskd]
root       138  0.0  0.0      0     0 ?        S    Apr14  12:35 [kswapd0]
root       139  0.0  0.0      0     0 ?        SN   Apr14   0:00 [ksmd]
root       140  0.0  0.0      0     0 ?        SN   Apr14   0:37 [khugepaged]
root       141  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/0]
root       142  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/1]
root       143  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/2]
root       144  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/3]
root       145  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/4]
root       146  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/5]
root       147  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/6]
root       148  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/7]
root       149  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/8]
root       150  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/9]
root       151  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/10]
root       152  0.0  0.0      0     0 ?        S    Apr14   0:00 [aio/11]
root       153  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/0]
root       154  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/1]
root       155  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/2]
root       156  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/3]
root       157  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/4]
root       158  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/5]
root       159  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/6]
root       160  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/7]
root       161  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/8]
root       162  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/9]
root       163  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/10]
root       164  0.0  0.0      0     0 ?        S    Apr14   0:00 [crypto/11]
root       169  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/0]
root       170  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/1]
root       171  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/2]
root       172  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/3]
root       173  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/4]
root       174  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/5]
root       175  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/6]
root       176  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/7]
root       177  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/8]
root       178  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/9]
root       179  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/10]
root       180  0.0  0.0      0     0 ?        S    Apr14   0:00 [kthrotld/11]
root       182  0.0  0.0      0     0 ?        S    Apr14   0:00 [kpsmoused]
root       183  0.0  0.0      0     0 ?        S    Apr14   0:00 [usbhid_resumer]
root       215  0.0  0.0      0     0 ?        S    Apr14   0:00 [kstriped]
root       386  0.0  0.0      0     0 ?        S    Apr14  14:20 [scsi_eh_0]
root       387  0.0  0.0      0     0 ?        S    Apr14  13:46 [scsi_eh_1]
root       389  0.0  0.0      0     0 ?        S    Apr14   0:00 [scsi_eh_2]
root       390  0.0  0.0      0     0 ?        S    Apr14   0:00 [scsi_eh_3]
root       466  0.0  0.0      0     0 ?        S    Apr14   0:21 [kdmflush]
root       478  0.0  0.0      0     0 ?        S    Apr14   9:00 [jbd2/dm-0-8]
root       479  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       480  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       481  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       482  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       483  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       484  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       485  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       486  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       487  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       488  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       489  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       490  0.0  0.0      0     0 ?        S    Apr14   0:00 [ext4-dio-unwrit]
root       585  0.0  0.0  10976   432 ?        S<s  Apr14   0:00 /sbin/udevd -d
sacunnin   599  0.0  0.0 728412  1540 ?        Sl   May02   0:00 /usr/libexec/e-calendar-factory
root       749  0.0  0.0      0     0 ?        S    Apr14   0:00 [edac-poller]
root       808  0.0  0.0      0     0 ?        S    Apr14   0:00 [hd-audio0]
root      1125  0.0  0.0      0     0 ?        S    Apr14   0:00 [kvm-irqfd-clean]
root      1173  0.0  0.0      0     0 ?        S    Apr14   0:00 [kjournald]
dsisson   1207  0.0  0.0 728412  1468 ?        Sl   Apr15   0:00 /usr/libexec/e-calendar-factory
root      1226  0.0  0.0      0     0 ?        S    Apr14   0:05 [kauditd]
root      1237  0.0  0.0      0     0 ?        S    Apr14  21:18 [flush-253:0]
ppearson  1339  0.0  0.0 652632  1488 ?        Sl   Apr23   0:00 /usr/libexec/e-calendar-factory
root      1532  0.0  0.0  93200   688 ?        S<sl Apr14   0:22 auditd
root      1557  0.0  0.0 257860  4172 ?        Sl   Apr14   0:23 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1586  0.0  0.0  10828   592 ?        Ss   Apr14   4:17 irqbalance --pid=/var/run/irqbalance.pid
